Store ID,Store Name,City,Country ISO,Country,sq feet
1,Roma #2,Roma,IT,Italy,2200
2,Flagship,Roma,IT,Italy,4800
3,Roma #1,Roma,IT,Italy,2000
4,Milano #1,Milan,IT,Italy,800
5,Milano #2,Milan,IT,Italy,1250
6,Palermo #1,Palermo,IT,Italy,900
7,Poblenou,Barcelona,ES,Spain ,2000
8,Centro,Barcelona,ES,Spain ,900
9,Rambla,Barcelona,ES,Spain ,950
10,Kutxa,Bilbao,ES,Spain ,750
11,Maestranza,Sevilla,ES,Spain ,1100
12,Granada,Granada,ES,Spain ,950
13,Madrid #1,Madrid,ES,Spain ,
14,Madrid #2,Madrid,ES,Spain ,
15,Madrid #3,Madrid,ES,Spain ,
16,Malagueta,Malaga,ES,Spain ,
